config,arena,scenario,n_reps,detect_raw,detect_arima,delta,published_raw,published_arima,reproduced_raw,reproduced_arima,se_paired,se_independence,tightens_under_pairing,table
grid_v9b_r_phi_lo.yaml,ar1_phi0.5_snr2.0,variance_x1.5,500,0.436,0.58,-0.14399999999999996,0.436,0.58,True,True,0.019577910746000366,0.03128910353461729,True,"Table 3c (phi=0.5,0.8)"
grid_v9b_r_phi_lo.yaml,ar1_phi0.5_snr2.0,variance_x3,500,1.0,1.0,0.0,1.0,1.0,True,True,0.0,0.0,False,"Table 3c (phi=0.5,0.8)"
grid_v9b_r_phi_lo.yaml,ar1_phi0.8_snr0.1,variance_x1.5,500,0.996,0.842,0.15400000000000003,0.996,0.842,True,True,0.016158285192455334,0.016554153557340225,True,"Table 3c (phi=0.5,0.8)"
grid_v9b_r_phi_lo.yaml,ar1_phi0.8_snr0.1,variance_x3,500,1.0,0.988,0.01200000000000001,1.0,0.988,True,True,0.004874373707264981,0.004869496893930627,False,"Table 3c (phi=0.5,0.8)"
grid_v9b_r_phi_lo.yaml,ar1_phi0.8_snr0.5,variance_x1.5,500,0.856,0.954,-0.09799999999999998,0.856,0.954,True,True,0.013607436373149005,0.018283763288776195,True,"Table 3c (phi=0.5,0.8)"
grid_v9b_r_phi_lo.yaml,ar1_phi0.8_snr0.5,variance_x3,500,0.998,1.0,-0.0020000000000000018,0.998,1.0,True,True,0.002,0.001997998998998749,False,"Table 3c (phi=0.5,0.8)"
grid_v9b_r_phi_lo.yaml,ar1_phi0.8_snr2.0,variance_x1.5,500,0.212,0.826,-0.614,0.212,0.826,True,True,0.02215829370596752,0.024931105069771777,True,"Table 3c (phi=0.5,0.8)"
grid_v9b_r_phi_lo.yaml,ar1_phi0.8_snr2.0,variance_x3,500,0.992,1.0,-0.008000000000000007,0.992,1.0,True,True,0.003987957825156938,0.003983967871356396,False,"Table 3c (phi=0.5,0.8)"
grid_v8_phiqbreak.yaml,ar1_phi0.1,qvar_x1.5,500,0.052,0.052,0.0,0.052,0.052,True,True,0.013870283686323006,0.014042222046385677,True,Table 4 (phi-sweep)
grid_v8_phiqbreak.yaml,ar1_phi0.1,qvar_x3,500,0.402,0.058,0.34400000000000003,0.402,0.058,True,True,0.0244237802578587,0.024291232986408902,False,Table 4 (phi-sweep)
grid_v8_phiqbreak.yaml,ar1_phi0.5,qvar_x1.5,500,0.062,0.046,0.016,0.062,0.046,True,True,0.014138167333537335,0.014285657142742856,True,Table 4 (phi-sweep)
grid_v8_phiqbreak.yaml,ar1_phi0.5,qvar_x3,500,0.598,0.072,0.526,0.598,0.072,True,True,0.024079194654939375,0.024787577533918075,True,Table 4 (phi-sweep)
grid_v8_phiqbreak.yaml,ar1_phi0.7,qvar_x1.5,500,0.082,0.044,0.038000000000000006,0.082,0.044,True,True,0.014475187809636476,0.01531926891205974,True,Table 4 (phi-sweep)
grid_v8_phiqbreak.yaml,ar1_phi0.7,qvar_x3,500,0.846,0.318,0.528,0.846,0.318,True,True,0.02287966253937832,0.026349952561627126,True,Table 4 (phi-sweep)
grid_v8_phiqbreak.yaml,ar1_phi0.85,qvar_x1.5,500,0.152,0.048,0.104,0.152,0.048,True,True,0.015324414355880014,0.018686465690440232,True,Table 4 (phi-sweep)
grid_v8_phiqbreak.yaml,ar1_phi0.85,qvar_x3,500,0.972,0.768,0.20399999999999996,0.972,0.768,True,True,0.01803936910413861,0.020267806985463425,True,Table 4 (phi-sweep)
grid_v8_phiqbreak.yaml,ar1_phi0.95,qvar_x1.5,500,0.212,0.1,0.11199999999999999,0.212,0.1,True,True,0.018098815825034996,0.02267403801708024,True,Table 4 (phi-sweep)
grid_v8_phiqbreak.yaml,ar1_phi0.95,qvar_x3,500,0.962,0.794,0.16799999999999993,0.962,0.794,True,True,0.01811652330977628,0.0200059991002699,True,Table 4 (phi-sweep)
grid_v8_phiqbreak.yaml,ar1_phi0.99,qvar_x1.5,500,0.136,0.062,0.07400000000000001,0.136,0.062,True,True,0.017483115244065473,0.018743532217807828,True,Table 4 (phi-sweep)
grid_v8_phiqbreak.yaml,ar1_phi0.99,qvar_x3,500,0.58,0.278,0.30199999999999994,0.58,0.278,True,True,0.02527587267492376,0.029809931231051173,True,Table 4 (phi-sweep)
