draw,null_minp,argmin_method
620,0.5619,raw_var_cusum
621,0.0198,lsc_tail_cusum
622,0.2774,lsc_kalman_cusum
623,1.0,lsc_composite
624,0.5619,raw_var_cusum
625,0.10165,lsc_composite
626,0.1492,raw_var_cusum
627,0.2774,lsc_kalman_cusum
628,0.2774,lsc_kalman_cusum
629,0.2774,lsc_kalman_cusum
630,0.5535,lsc_tail_cusum
631,0.14915,lsc_tail_cusum
632,0.10165,lsc_composite
633,0.481,lsc_composite
634,0.5535,lsc_tail_cusum
635,1.0,lsc_composite
636,0.5535,lsc_tail_cusum
637,0.481,lsc_composite
638,0.2774,lsc_kalman_cusum
639,0.14915,lsc_tail_cusum
640,0.10165,lsc_composite
641,0.481,lsc_composite
642,0.481,lsc_composite
643,0.2774,lsc_kalman_cusum
644,0.10165,lsc_composite
645,0.10165,lsc_composite
646,0.5619,raw_var_cusum
647,0.5535,lsc_tail_cusum
648,0.1492,raw_var_cusum
649,0.5535,lsc_tail_cusum
650,0.2774,lsc_kalman_cusum
651,0.5619,raw_var_cusum
652,0.10165,lsc_composite
653,0.5619,raw_var_cusum
654,0.1521,raw_cusum
655,0.5535,lsc_tail_cusum
656,0.5535,lsc_tail_cusum
657,0.481,lsc_composite
658,0.0183,raw_var_cusum
659,0.1521,raw_cusum
660,0.1521,raw_cusum
661,0.1492,raw_var_cusum
662,0.1492,raw_var_cusum
663,0.10165,lsc_composite
664,0.1492,raw_var_cusum
665,0.1492,raw_var_cusum
666,0.1521,raw_cusum
667,0.1521,raw_cusum
668,0.2774,lsc_kalman_cusum
669,0.1492,raw_var_cusum
670,0.0183,raw_var_cusum
671,0.1492,raw_var_cusum
672,0.5619,raw_var_cusum
673,0.1521,raw_cusum
674,0.1492,raw_var_cusum
675,0.481,lsc_composite
676,0.5619,raw_var_cusum
677,0.481,lsc_composite
678,0.2774,lsc_kalman_cusum
679,0.481,lsc_composite
680,0.481,lsc_composite
681,0.5535,lsc_tail_cusum
682,0.5535,lsc_tail_cusum
683,0.2774,lsc_kalman_cusum
684,0.2774,lsc_kalman_cusum
685,0.481,lsc_composite
686,0.2774,lsc_kalman_cusum
687,0.14915,lsc_tail_cusum
688,0.5535,lsc_tail_cusum
689,0.5535,lsc_tail_cusum
690,0.481,lsc_composite
691,1.0,lsc_composite
692,0.2774,lsc_kalman_cusum
693,0.1492,raw_var_cusum
694,0.5535,lsc_tail_cusum
695,0.481,lsc_composite
696,0.481,lsc_composite
697,0.481,lsc_composite
698,1.0,lsc_composite
699,0.2774,lsc_kalman_cusum
700,0.1521,raw_cusum
701,0.2774,lsc_kalman_cusum
