t,Y,raw_var_cusum_score
1.850000000000000000e+02,5.182865332704403305e-02,2.263936325749908107e+01
1.860000000000000000e+02,-7.841853758432429933e-01,2.188783862939860470e+01
1.870000000000000000e+02,3.322285404273470633e-01,2.101375023087304328e+01
1.880000000000000000e+02,-2.668027714941831885e-01,1.997350579818674987e+01
1.890000000000000000e+02,-1.263623603626621961e+00,1.984715011993205280e+01
1.900000000000000000e+02,1.333082431062091899e+00,2.044889129053699151e+01
1.910000000000000000e+02,4.840396232433225032e-02,1.942913160329088385e+01
1.920000000000000000e+02,4.221994467780010307e-02,1.840754002242865539e+01
1.930000000000000000e+02,4.223730907032437476e-01,1.760494397018061008e+01
1.940000000000000000e+02,4.263310123916764227e-01,1.680576559361423961e+01
1.950000000000000000e+02,7.855294716281640000e-01,1.641436832185983619e+01
1.960000000000000000e+02,1.340838684832277972e+00,1.703340062192508242e+01
1.970000000000000000e+02,-5.947855333535415068e-02,1.598989283921513760e+01
1.980000000000000000e+02,-6.954897477275754358e-01,1.516042016864068032e+01
1.990000000000000000e+02,-4.467721599359492091e-01,1.463742108739513270e+01
2.000000000000000000e+02,4.898027386727329402e-01,1.527858882690675379e+01
2.010000000000000000e+02,-1.412829209939986175e+00,1.504019761237587538e+01
2.020000000000000000e+02,8.938686527751391608e-01,1.517069907917131211e+01
2.030000000000000000e+02,2.127969287314920965e+00,1.618387874558870010e+01
2.040000000000000000e+02,-1.073426495366238909e+00,1.576834721808287654e+01
2.050000000000000000e+02,-4.283562923942262346e-01,1.477523957154332379e+01
2.060000000000000000e+02,1.240710848772006436e+00,1.517797644103770871e+01
2.070000000000000000e+02,1.682520973127271890e+00,1.664807092207906791e+01
2.080000000000000000e+02,2.507384920909992987e-01,1.571982006085074524e+01
2.090000000000000000e+02,1.252805775679822098e+00,1.614788754954330230e+01
2.100000000000000000e+02,-1.268239759411199929e-01,1.509838562224960867e+01
2.110000000000000000e+02,-7.793488310329113045e-01,1.434230700969659011e+01
2.120000000000000000e+02,4.732783692762742578e-01,1.392713079272727938e+01
2.130000000000000000e+02,-5.066330705224391107e-01,1.478335150668071307e+01
2.140000000000000000e+02,-6.915769190225765639e-01,1.551599171849884051e+01
2.150000000000000000e+02,-2.486540939025015717e+00,1.482271987916826639e+01
2.160000000000000000e+02,-1.511692861075593752e+00,1.515488452354364135e+01
2.170000000000000000e+02,-4.049473149127804095e-01,1.415252692090822606e+01
2.180000000000000000e+02,-2.624225820331603787e-01,1.380103857904883391e+01
2.190000000000000000e+02,-8.420957925013485834e-01,1.439531692587238076e+01
2.200000000000000000e+02,1.396453577374791699e+00,1.354966423895034211e+01
2.210000000000000000e+02,1.407539271491594635e-01,1.443525781689885079e+01
2.220000000000000000e+02,-2.361689287882670074e-01,1.538003476954868987e+01
2.230000000000000000e+02,-3.783415783155890111e-01,1.629190976571864624e+01
2.240000000000000000e+02,9.318718726089625370e-01,1.636181053567039712e+01
2.250000000000000000e+02,-1.327365552910418911e+00,1.627914046960423988e+01
2.260000000000000000e+02,2.417970467500462739e+00,1.382818462503860069e+01
2.270000000000000000e+02,2.749328467961421385e+00,1.907987091327337836e+01
2.280000000000000000e+02,-7.960940213281808564e-01,1.833970842504468379e+01
2.290000000000000000e+02,2.530881706361285843e+00,2.267837383938954687e+01
2.300000000000000000e+02,3.271655147494903493e-01,2.180063073790188355e+01
2.310000000000000000e+02,1.683301351485883002e-01,2.082771406178963502e+01
2.320000000000000000e+02,1.885925301380823704e+00,2.288741438055729915e+01
2.330000000000000000e+02,4.295339073100876703e-01,2.209101887463433656e+01
2.340000000000000000e+02,3.582472095416946001e+00,3.148052122904580230e+01
2.350000000000000000e+02,-3.153637546508220035e-01,3.045033957940307090e+01
2.360000000000000000e+02,1.561032717032592831e+00,3.159781333913206325e+01
2.370000000000000000e+02,-2.899392998341518424e-01,3.056192307058478974e+01
2.380000000000000000e+02,-2.856850185050108237e-01,2.952517205896391062e+01
2.390000000000000000e+02,1.089837218319541279e+00,2.963033058977971379e+01
2.400000000000000000e+02,2.576697334719733057e+00,3.415456870372508291e+01
2.410000000000000000e+02,2.176916432519175881e+00,3.716541585359407662e+01
2.420000000000000000e+02,1.399756147315690313e+00,3.791873322166692617e+01
2.430000000000000000e+02,-2.950188437743514469e-01,3.688390614473389917e+01
2.440000000000000000e+02,2.263041718132434155e-01,3.594135172739363071e+01
2.450000000000000000e+02,2.451372192083929757e+00,3.996542641093164860e+01
2.460000000000000000e+02,1.998198442015974297e-01,3.900837750654660852e+01
2.470000000000000000e+02,1.486555250118980931e+00,3.996899252357871291e+01
2.480000000000000000e+02,5.157444231176017135e-02,3.895019422198008385e+01
2.490000000000000000e+02,-1.509711228637995228e+00,3.927833119101897097e+01
2.500000000000000000e+02,-1.713924395169403203e+00,4.005243578037982388e+01
2.510000000000000000e+02,2.821891982335888116e+00,4.562321046714016148e+01
2.520000000000000000e+02,2.178676226570025243e+00,4.864019527056927217e+01
2.530000000000000000e+02,7.928530711066044123e-01,4.825912077197525463e+01
2.540000000000000000e+02,-2.737568666613235280e+00,5.220922598013380878e+01
2.550000000000000000e+02,1.229871924497386804e+00,5.258944871034980650e+01
2.560000000000000000e+02,2.578628728362444722e+00,5.712157879362486312e+01
2.570000000000000000e+02,6.198302463039190302e-01,5.651807845550796117e+01
2.580000000000000000e+02,1.811891259839202961e+00,5.835601004858747842e+01
2.590000000000000000e+02,-1.298568348752005885e+00,5.828867166891911467e+01
2.600000000000000000e+02,-1.783264837473008235e+00,5.922839828301953702e+01
2.610000000000000000e+02,1.184536149601170152e+00,5.951635724124286497e+01
2.620000000000000000e+02,-1.240434582476531711e+00,5.935184696876096666e+01
2.630000000000000000e+02,-4.756109597150786072e-01,5.837991051684223720e+01
2.640000000000000000e+02,3.018387079723455546e+00,6.485430795365248002e+01
2.650000000000000000e+02,2.543780440591794090e+00,6.924490098637440383e+01
2.660000000000000000e+02,1.670856958081719190e+00,7.068306227682042220e+01
2.670000000000000000e+02,6.858817543637498737e-01,7.015918585135207763e+01
2.680000000000000000e+02,-5.870592139484980265e-01,6.925041614477414953e+01
2.690000000000000000e+02,4.464414740801412762e+00,8.415198144292322979e+01
2.700000000000000000e+02,8.647449884834382816e-01,8.387650171108504082e+01
2.710000000000000000e+02,2.151350499833508678e-01,8.292770659347897322e+01
2.720000000000000000e+02,2.745308034725209900e+00,8.816194396395519561e+01
2.730000000000000000e+02,3.877708328367563961e-01,8.733046720716860989e+01
2.740000000000000000e+02,2.659724733945794117e-01,8.641158633767308572e+01
2.750000000000000000e+02,1.654036278560417683e+00,8.780405529954418853e+01
2.760000000000000000e+02,1.770039686307013360e+00,8.952024990003378946e+01
2.770000000000000000e+02,1.359713290554160237e+00,9.018173576474636377e+01
2.780000000000000000e+02,2.740105393555214874e+00,9.539342927193150956e+01
2.790000000000000000e+02,2.292575587514278368e+00,9.881751990904840000e+01
2.800000000000000000e+02,6.538962690177840820e-01,9.825427018998004769e+01
2.810000000000000000e+02,1.651013064096211291e+00,9.963857167034190354e+01
2.820000000000000000e+02,1.930686525291666511e+00,1.018363331192629033e+02
2.830000000000000000e+02,3.841776998757757244e+00,1.127256525356426238e+02
2.840000000000000000e+02,4.836590889242690317e+00,1.303025574717455584e+02
2.850000000000000000e+02,5.155975663622319516e+00,1.503405984338911310e+02
2.860000000000000000e+02,-1.307627701492414030e+00,1.502888584757823764e+02
2.870000000000000000e+02,2.228697045722664249e+00,1.534822396356255467e+02
2.880000000000000000e+02,5.393476766501058783e+00,1.754494031506686724e+02
2.890000000000000000e+02,-2.161142620549434401e+00,1.774181620858560393e+02
2.900000000000000000e+02,2.694644986912632767e+00,1.824345919530895515e+02
2.910000000000000000e+02,2.080532926979073327e+00,1.851163597397427623e+02
2.920000000000000000e+02,6.076067293449066709e-01,1.844988401419632282e+02
2.930000000000000000e+02,2.348136937792784984e+00,1.881285670478343661e+02
2.940000000000000000e+02,1.805751697479289763e+00,1.899484759391397972e+02
2.950000000000000000e+02,7.589374847010736946e-01,1.895202715619000173e+02
2.960000000000000000e+02,3.172604814323666922e+00,1.967443433986854302e+02
2.970000000000000000e+02,-1.588176498731974418e+00,1.972364521090146638e+02
2.980000000000000000e+02,-1.733896594154404891e-02,1.962001474029779615e+02
2.990000000000000000e+02,-1.058353085787038239e+00,1.957640135888333077e+02
3.000000000000000000e+02,2.512502064695645743e+00,2.000291165799937971e+02
3.010000000000000000e+02,1.344404017798533246e+00,2.006561273340962828e+02
3.020000000000000000e+02,3.723378728444627583e+00,2.108481483121742315e+02
3.030000000000000000e+02,2.513823951416838121e+00,2.151185251314271341e+02
3.040000000000000000e+02,-1.034791927012841395e+00,2.146508691629206282e+02
3.050000000000000000e+02,3.587640700719220810e+00,2.240692837644413657e+02
3.060000000000000000e+02,2.266449371391729972e-01,2.231269226832711183e+02
3.070000000000000000e+02,2.009785262019370133e-01,2.221704859502561362e+02
3.080000000000000000e+02,-3.417248926093086059e-02,2.211309850583979824e+02
3.090000000000000000e+02,3.814861548236777367e+00,2.318599452444316285e+02
3.100000000000000000e+02,-9.609100116061891628e-01,2.312988308947178382e+02
3.110000000000000000e+02,3.062163240754051108e-01,2.304063735696232129e+02
3.120000000000000000e+02,3.251055531575014701e+00,2.380254642761081243e+02
3.130000000000000000e+02,3.174183069948939284e-01,2.371407932573685002e+02
3.140000000000000000e+02,1.962790968010025061e+00,2.394394239751891860e+02
3.150000000000000000e+02,2.671548251652691164e+00,2.443578325720729083e+02
3.160000000000000000e+02,2.737822261279464264e+00,2.495596456968747248e+02
3.170000000000000000e+02,3.000099542962999521e+00,2.559475054725696168e+02
3.180000000000000000e+02,-9.275853922488044301e-01,2.553469098838477578e+02
3.190000000000000000e+02,2.389262071799427289e-01,2.544116326856184855e+02
3.200000000000000000e+02,1.040746040460152955e+00,2.544273110463333580e+02
3.210000000000000000e+02,3.609240731936190549e+00,2.639669850022045807e+02
3.220000000000000000e+02,-3.648818641243113392e-01,2.629506987384065155e+02
3.230000000000000000e+02,-2.962300081708665878e-01,2.619161308698183461e+02
3.240000000000000000e+02,-1.837569206892207152e+00,2.629905897660322580e+02
3.250000000000000000e+02,3.309566883693386696e+00,2.709102964429009717e+02
3.260000000000000000e+02,2.565480009592375321e+00,2.753888092231144924e+02
3.270000000000000000e+02,1.511200676534740994e+00,2.764103388745939469e+02
3.280000000000000000e+02,1.799225568974555545e+00,2.782111521511901628e+02
3.290000000000000000e+02,2.023759100121344190e+00,2.807055854572201952e+02
3.300000000000000000e+02,-4.764970872205545049e-01,2.797340779328099529e+02
3.310000000000000000e+02,-1.585218261320985755e+00,2.802198375600312374e+02
3.320000000000000000e+02,1.222552224692309508e+00,2.805849555910154436e+02
3.330000000000000000e+02,9.474242805086932617e-02,2.795807439867200515e+02
3.340000000000000000e+02,2.529810484499372403e-01,2.786538506575771521e+02
3.350000000000000000e+02,2.657272098540934824e-01,2.777348161825092916e+02
3.360000000000000000e+02,-7.086205094812703109e-02,2.766898185009873146e+02
3.370000000000000000e+02,4.466655230260315190e-01,2.759085686691354908e+02
3.380000000000000000e+02,1.580731710039630089e-01,2.749308038919812702e+02
3.390000000000000000e+02,-2.516171474805296016e-01,2.738881370812040927e+02
3.400000000000000000e+02,-3.382038107509182101e-01,2.728639086690380395e+02
3.410000000000000000e+02,-5.285518521488542509e-01,2.719196602936114004e+02
3.420000000000000000e+02,-2.608780682340049673e+00,2.753839433658400822e+02
3.430000000000000000e+02,-7.147405341627224296e-01,2.745703884111987350e+02
3.440000000000000000e+02,1.484501281507798254e+00,2.755259677928182214e+02
3.450000000000000000e+02,1.986673500811305892e+00,2.779006358402454566e+02
3.460000000000000000e+02,1.846536314594292794e+00,2.798413254229720337e+02
3.470000000000000000e+02,2.178494720578586730e+00,2.828576769715426735e+02
3.480000000000000000e+02,-2.189460782116356086e+00,2.849121590904253480e+02
3.490000000000000000e+02,-2.029586717950662145e-01,2.838640550240310176e+02
3.500000000000000000e+02,-1.855046916235933985e+00,2.849828159365917486e+02
3.510000000000000000e+02,-3.266395986962655762e-01,2.839554757486099561e+02
3.520000000000000000e+02,-7.941771961254370238e-01,2.832134700692716933e+02
3.530000000000000000e+02,1.114585784013530922e+00,2.833651061240827858e+02
3.540000000000000000e+02,-5.165198001476878353e-02,2.823227352079563843e+02
3.550000000000000000e+02,1.852150020832420640e+00,2.842802442827827463e+02
3.560000000000000000e+02,-8.670488458204546056e-01,2.836121800792898853e+02
3.570000000000000000e+02,-6.527466352932865812e-01,2.827493476725570645e+02
3.580000000000000000e+02,3.560180256310927049e+00,2.920146115620445926e+02
3.590000000000000000e+02,1.830803036963446040e+00,2.939084132467413042e+02
3.600000000000000000e+02,-6.997916917858370001e-01,2.930824495614532452e+02
3.610000000000000000e+02,-1.860465491267613958e+00,2.942150381669443391e+02
3.620000000000000000e+02,-9.417317457202665221e-01,2.936309994104559564e+02
3.630000000000000000e+02,2.100915816144200754e+00,2.963812006926762592e+02
3.640000000000000000e+02,-1.992972621332669947e+00,2.978656110647265791e+02
3.650000000000000000e+02,3.523872541508454859e-02,2.968420202108589478e+02
3.660000000000000000e+02,1.708571396948528776e+00,2.983841695030607752e+02
3.670000000000000000e+02,1.757938119355199280e+00,3.000656518945106086e+02
3.680000000000000000e+02,7.819692204760074761e-01,2.996692653672252504e+02
3.690000000000000000e+02,6.409210940964723546e-01,2.990904800863704054e+02
3.700000000000000000e+02,1.335226877127216216e+00,2.996969928965916097e+02
3.710000000000000000e+02,2.386004112376264974e+00,3.034695161403532211e+02
3.720000000000000000e+02,-2.927668002142194137e+00,3.081820882354187461e+02
3.730000000000000000e+02,2.854134890539986591e-01,3.072756694283258980e+02
3.740000000000000000e+02,-6.129435417404059949e-01,3.063842304972694706e+02
3.750000000000000000e+02,-1.186186357569284366e+00,3.061336051368867857e+02
3.760000000000000000e+02,-2.614588080889113098e-01,3.050924688908923486e+02
3.770000000000000000e+02,1.262416609419112934e+00,3.055408206219953513e+02
3.780000000000000000e+02,-2.699976059804699013e-01,3.045011297645670538e+02
3.790000000000000000e+02,-2.671290588296496793e+00,3.081981163974904803e+02
3.800000000000000000e+02,-1.897281378172007149e-01,3.071491466358010598e+02
3.810000000000000000e+02,-4.767962048776863138e-01,3.061777841637388065e+02
3.820000000000000000e+02,9.029045481376020144e-01,3.059614956523713545e+02
3.830000000000000000e+02,-1.104139573672315411e+00,3.055889949532516425e+02
3.840000000000000000e+02,3.174225621503097838e-01,3.047043269278798334e+02
3.850000000000000000e+02,-1.120737671604673524e+00,3.043556687623693051e+02
3.860000000000000000e+02,-1.304138958562986339e+00,3.042979073330949404e+02
3.870000000000000000e+02,-1.777209179474829703e+00,3.052228830281658816e+02
3.880000000000000000e+02,1.178411924745643713e+00,3.054986142789319956e+02
