model,rep,alarmed,hit,alarm_time,attrib_time,attrib_feature
kalman,138,True,True,443.0,443,variance_pressure
arima,138,True,False,165.0,165,instability
kalman,139,True,True,451.0,451,variance_pressure
arima,139,False,False,,489,variance_pressure
kalman,140,True,True,399.0,399,variance_pressure
arima,140,False,False,,456,variance_pressure
kalman,141,False,False,,451,variance_pressure
arima,141,False,False,,489,variance_pressure
kalman,142,True,True,451.0,451,variance_pressure
arima,142,False,False,,477,break_pressure
kalman,143,True,True,322.0,322,variance_pressure
arima,143,True,True,400.0,400,variance_pressure
kalman,144,True,True,322.0,322,variance_pressure
arima,144,False,False,,460,variance_pressure
kalman,145,False,False,,454,variance_pressure
arima,145,False,False,,444,acceleration
kalman,146,True,True,441.0,441,variance_pressure
arima,146,False,False,,460,variance_pressure
kalman,147,False,False,,494,variance_pressure
arima,147,False,False,,489,variance_pressure
kalman,148,True,True,400.0,400,variance_pressure
arima,148,False,False,,456,variance_pressure
kalman,149,True,False,231.0,231,state_shift_pressure
arima,149,False,False,,489,variance_pressure
kalman,150,True,True,447.0,447,variance_pressure
arima,150,False,False,,456,variance_pressure
kalman,151,True,True,441.0,441,variance_pressure
arima,151,False,False,,489,variance_pressure
kalman,152,True,True,326.0,326,variance_pressure
arima,152,True,True,265.0,265,instability
kalman,153,True,True,322.0,322,variance_pressure
arima,153,True,True,350.0,350,variance_pressure
kalman,154,True,True,391.0,391,variance_pressure
arima,154,False,False,,456,variance_pressure
kalman,155,True,True,447.0,447,variance_pressure
arima,155,False,False,,456,variance_pressure
kalman,156,True,True,326.0,326,variance_pressure
arima,156,False,False,,456,variance_pressure
kalman,157,False,False,,451,variance_pressure
arima,157,False,False,,456,variance_pressure
kalman,158,True,True,450.0,450,variance_pressure
arima,158,True,True,300.0,300,break_pressure
kalman,159,False,False,,490,variance_pressure
arima,159,False,False,,490,variance_pressure
kalman,160,False,False,,451,variance_pressure
arima,160,False,False,,460,variance_pressure
kalman,161,False,False,,460,variance_pressure
