draw_index,seed,null_max_score
422,100422,7.731094741601046
423,100423,5.007073573501836
424,100424,9.312413586189658
425,100425,8.596126293020657
426,100426,5.332528783977946
427,100427,3.575843343455409
428,100428,8.488862189568946
429,100429,7.217971489313088
430,100430,4.977739799752077
431,100431,5.420001963165777
432,100432,12.900124383114843
433,100433,10.578573401159971
434,100434,5.256260518625643
435,100435,6.722382325263204
436,100436,8.50104062466528
437,100437,5.892628008519702
438,100438,4.661010451558209
439,100439,4.429037564787862
440,100440,21.375409212121465
441,100441,4.120384240495125
442,100442,5.173690767278725
443,100443,6.1942047702039105
444,100444,3.9098860882673048
445,100445,22.949033702188846
446,100446,8.161358381882689
447,100447,4.033045515681128
448,100448,3.326258968997078
449,100449,3.827762600180117
450,100450,32.96212093647401
451,100451,7.010706751224491
452,100452,5.309549054506742
453,100453,8.052793230087492
454,100454,9.75885882396784
455,100455,5.323778415862644
456,100456,9.227582093849476
457,100457,7.919365999840375
458,100458,4.746681669107277
459,100459,17.8709471036537
460,100460,24.978339362468407
461,100461,4.362832611733694
462,100462,23.912891379831443
463,100463,3.9728033724407608
464,100464,7.637651305164987
465,100465,6.378962463542821
466,100466,49.446856584974434
467,100467,5.584001622981478
468,100468,7.5461166630909595
469,100469,4.954094095005839
470,100470,4.160914329442101
471,100471,11.21466370583225
472,100472,4.413491830820446
473,100473,10.861144774361746
474,100474,6.575146648906997
475,100475,8.062665396745556
476,100476,4.953753065973187
477,100477,8.612270395249592
478,100478,4.874307664879516
479,100479,12.58513391176619
480,100480,4.932343629489273
481,100481,8.994486455424962
482,100482,7.205693059912681
483,100483,4.333595164587868
484,100484,15.21175497910123
485,100485,5.829835082485697
486,100486,4.282973485345471
487,100487,7.436581485662067
488,100488,3.729799534735651
489,100489,5.904141763685821
490,100490,4.968624127028999
491,100491,5.104254155340218
492,100492,5.138775034306325
493,100493,9.671291223365419
494,100494,3.9328329878098174
495,100495,4.884588990685092
496,100496,3.7288367630388555
497,100497,5.811170469753008
498,100498,22.89483292500928
499,100499,4.267853014462081
